frame_id,image_num,latitude,longitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,steering_angle,throttle,brake,speed,label
0,93550,-0.001231150033902395,-0.00048818636799974444,0.00012291473103687167,0.01999962143599987,-0.39218711853027344,0.0,0.0,0.0,0.0,0.0,0.0,8.93430690765381,normal
1,93551,-0.001231150033902395,-0.00048818636799974444,0.00012291473103687167,0.01999962143599987,-0.39218711853027344,0.0,0.0,0.0,0.0,0.0,0.0,8.93430690765381,normal
2,93553,-0.001231150033902395,-0.00048818636799974444,-0.004969176836311817,0.005030633881688118,0.08681201934814453,0.0,0.0,0.0,0.0,0.0,0.0,10.864213371276856,normal
3,93554,-0.001231150033902395,-0.00048818636799974444,-0.002499952679499984,1.536434137960896e-05,16.419940948486328,2.814938682149659e-07,-2.9077048324666066e-08,2.849553926154158e-12,0.0,0.0,0.0,6.3799293994903765,normal
4,93555,-0.001231150033902395,-0.00048818636799974444,0.0,0.0,34.07392501831055,6.852445721960976e-07,-5.76512135808116e-08,-7.089878684141127e-11,0.0,0.0,0.0,3.2064162969591083,normal
5,93556,-0.001231150033902395,-0.00048818636799974444,-0.0049384478479623795,0.010030539706349373,24.430410385131836,6.703238568661618e-07,-5.938045077868992e-08,-5.981209971750445e-11,0.0,0.0,0.0,1.290605807304772,normal
6,93557,-0.001231150033902395,-0.00048818636799974444,0.002499952679499984,-1.536434137960896e-05,18.492563247680664,-8.606689902990183e-07,-5.486197451887165e-08,2.1486049051056e-11,0.0,0.0,0.0,0.1402923524388124,normal
7,93558,-0.001231150033902395,-0.00048818636799974444,0.004969176836311817,-0.005030633881688118,14.617417335510254,-3.113140962796024e-07,2.040729469854341e-07,-7.233463827915898e-12,0.0,0.0,0.0,0.4861317157747468,normal
8,93559,-0.001231150033902395,-0.00048818636799974444,-0.0049384478479623795,0.010030539706349373,12.226499557495117,2.8689922260127787e-07,-2.1609945832778976e-08,1.3675685583969255e-11,0.0,0.0,0.0,0.7510235667229865,normal
9,93560,-0.001231150033902395,-0.00048818636799974444,-0.0049384478479623795,0.010030539706349373,10.847908020019531,-1.3576880064647412e-07,2.1863486665552045e-07,3.1449939874583777e-11,0.0,0.0,0.0,0.8524875640874022,normal
10,93561,-0.001231150033902395,-0.00048818636799974444,0.002499952679499984,-1.536434137960896e-05,10.02280330657959,2.1531462834900594e-07,-1.0659960913983468e-08,7.003987667619782e-12,0.0,0.0,0.0,0.8492235302925765,normal
11,93562,-0.001231150033902395,-0.00048818636799974444,0.004876990802586079,-0.020030349493026733,9.558992385864258,-5.621662921839743e-07,-2.3729492681923148e-07,-3.9009392938105236e-11,0.0,0.0,0.0,0.7913571238518603,normal
12,93563,-0.001231150033902395,-0.00048818636799974444,-0.0024692239239811897,0.005015269853174686,9.314177513122559,2.740202091899846e-07,1.663516269179155e-10,9.530924660605677e-12,0.0,0.0,0.0,0.6985621333122372,normal
13,93564,-0.001231150033902395,-0.00048818636799974444,-0.004999905358999968,3.072868275921792e-05,9.218414306640625,2.6615671799845586e-07,1.045825648304799e-08,-2.470604276716415e-11,0.0,0.0,0.0,0.5939364016056301,normal
14,93565,-0.001231150033902395,-0.00048818636799974444,-0.002499952679499984,1.536434137960896e-05,9.215371131896973,1.58372458258782e-07,1.510661640224953e-08,5.219817633683732e-12,0.0,0.0,0.0,0.49551086425788743,normal
15,93566,-0.001231150033902395,-0.00048818636799974444,0.0,0.0,9.249431610107422,1.5095190519787138e-07,1.896078494212361e-08,1.889331573134978e-12,0.0,0.0,0.0,0.40077821910390626,normal
16,93567,-0.001231150033902395,-0.00048818636799974444,-0.004969176836311817,0.005030633881688118,9.335495948791504,2.7066246843787667e-07,1.4556989391678599e-08,-2.7009783298836965e-11,0.0,0.0,0.0,0.3287297397854575,normal
17,93568,-0.001231150033902395,-0.00048818636799974444,-0.002499952679499984,1.536434137960896e-05,9.36995792388916,-6.030649046806502e-07,-2.1712955344810325e-07,-6.364238996914295e-11,0.0,0.0,0.0,0.27136222422142703,normal
18,93569,-0.001231150033902395,-0.00048818636799974444,-0.004999905358999968,3.072868275921792e-05,9.4786958694458,1.839281651427882e-07,2.0498132968782556e-08,2.297768095585462e-13,0.0,0.0,0.0,0.22475700527451872,normal
19,93570,-0.001231150033902395,-0.00048818636799974444,0.002499952679499984,-1.536434137960896e-05,9.466919898986816,-1.1784987918872503e-06,2.11584350040539e-08,4.620290261492244e-12,0.0,0.0,0.0,0.18072440028226147,normal
20,93571,-0.001231150033902395,-0.00048818636799974444,-0.004876990802586079,0.020030349493026733,9.570535659790039,2.14757065464255e-07,2.0872592543241808e-08,6.270351599058088e-11,0.0,0.0,0.0,0.1505036294463043,normal
21,93572,-0.001231150033902395,-0.00048818636799974444,-0.007376943714916706,0.02004571445286274,9.599628448486328,3.305324298708001e-07,1.727230092285481e-08,-1.8360757358948376e-11,0.0,0.0,0.0,0.12503663152507755,normal
22,93573,-0.001231150033902395,-0.00048818636799974444,-0.004876990802586079,0.020030349493026733,9.627542495727539,3.4521053748903796e-07,1.640603031205501e-08,6.8352962179218935e-12,0.0,0.0,0.0,0.1032945178465051,normal
23,93574,-0.001231150033902395,-0.00048818636799974444,-0.009938353672623634,0.010061267763376236,9.656421661376953,3.0346396329150593e-07,1.2182202802080155e-08,-1.578658037626468e-11,0.0,0.0,0.0,0.08514373451613162,normal
24,93575,-0.001231150033902395,-0.00048818636799974444,-0.004876990802586079,0.020030349493026733,9.682363510131836,1.6720049700325035e-07,2.586004965721145e-09,2.8684304931303473e-11,0.0,0.0,0.0,0.07019089534907529,normal
25,93576,-0.001231150033902395,-0.00048818636799974444,0.0,0.0,9.698813438415527,2.283336613118081e-07,6.413592767984255e-09,-2.896161088727922e-11,0.0,0.0,0.0,0.05704351812652732,normal
26,93577,-0.001231150033902395,-0.00048818636799974444,0.0024384954012930393,-0.010015174746513367,9.717002868652344,1.701681640042807e-07,1.093235457716446e-08,1.566520697882101e-11,0.0,0.0,0.0,0.04578383937493853,normal
