frame_id,image_num,latitude,longitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,steering_angle,throttle,brake,speed,label
0,72802,-0.001231150033902395,-0.00048818636799974444,-0.019753791391849518,0.04012215882539749,0.16230487823486328,0.0,0.0,0.0,0.0,0.0,0.0,9.373995208740235,normal
1,72803,-0.001231150033902395,-0.00048818636799974444,-0.019753791391849518,0.04012215882539749,0.16230487823486328,0.0,0.0,0.0,0.0,0.0,0.0,9.373995208740235,normal
2,72806,-0.001231150033902395,-0.00048818636799974444,0.002530681435018778,0.004984540864825249,-0.07115650177001953,0.0,0.0,0.0,0.0,0.0,0.0,11.260580348968507,normal
3,72807,-0.001231150033902395,-0.00048818636799974444,-3.072868275921792e-05,-0.004999905358999968,22.56253433227539,2.557450500262348e-07,-3.785048008353442e-08,4.294432864870856e-12,0.0,0.0,0.0,6.555587053298966,normal
4,72808,-0.001231150033902395,-0.00048818636799974444,-0.002499952679499984,1.536434137960896e-05,34.646385192871094,4.134911648634443e-07,-6.220012949142983e-08,5.65629765247877e-11,0.0,0.0,0.0,3.8956832885742685,normal
5,72809,-0.001231150033902395,-0.00048818636799974444,0.0049384478479623795,-0.010030539706349373,26.357925415039062,4.883229962615587e-07,-7.018668668479222e-08,1.3064410664398451e-11,0.0,0.0,0.0,2.052501654625093,normal
6,72810,-0.001231150033902395,-0.00048818636799974444,-0.002499952679499984,1.536434137960896e-05,20.879310607910156,5.118676540405431e-07,-7.546126568058753e-08,3.440747686767054e-11,0.0,0.0,0.0,0.8337896168234971,normal
7,72811,-0.001231150033902395,-0.00048818636799974444,-0.0049384478479623795,0.010030539706349373,16.979156494140625,-1.053464160349904e-07,1.6132040059346764e-07,1.74211617354203e-11,0.0,0.0,0.0,0.027021388337694453,normal
8,72812,-0.001231150033902395,-0.00048818636799974444,0.002377037890255451,-0.020014986395835876,14.106948852539062,5.585019380305312e-07,-7.342699603896108e-08,-4.047665674855594e-11,0.0,0.0,0.0,0.48867434263229653,normal
9,72813,-0.001231150033902395,-0.00048818636799974444,0.004999905358999968,-3.072868275921792e-05,12.278213500976562,6.120766897765861e-07,-7.116909017668149e-08,-4.2824993551349166e-11,0.0,0.0,0.0,0.7306136727335416,normal
10,72814,-0.001231150033902395,-0.00048818636799974444,-6.145736551843584e-05,-0.009999810717999935,10.977437019348145,-8.79629453720554e-07,-6.847960065670122e-08,7.875852747751821e-12,0.0,0.0,0.0,0.8428291976452302,normal
11,72815,-0.001231150033902395,-0.00048818636799974444,-6.145736551843584e-05,-0.009999810717999935,10.180908203125,4.194724851913634e-07,-5.491486376740795e-08,-1.745087407911683e-11,0.0,0.0,0.0,0.8632176339626345,normal
12,72816,-0.001231150033902395,-0.00048818636799974444,-0.0024077666457742453,0.015015080571174622,9.67673110961914,-8.970970952759671e-07,-5.085396281856447e-08,-3.6749658871571e-11,0.0,0.0,0.0,0.8216372251512404,normal
13,72817,-0.001231150033902395,-0.00048818636799974444,-6.145736551843584e-05,-0.009999810717999935,9.389848709106445,5.015410238229379e-07,-3.8035345539810805e-08,-3.3782421304806576e-11,0.0,0.0,0.0,0.7518234014521286,normal
14,72818,-0.001231150033902395,-0.00048818636799974444,-0.0024384954012930393,0.010015174746513367,9.25867748260498,-1.0844810276466887e-06,-3.307118490170069e-08,6.600352209229499e-12,0.0,0.0,0.0,0.6743143200874407,normal
15,72819,-0.001231150033902395,-0.00048818636799974444,-0.0049384478479623795,0.010030539706349373,9.208613395690918,2.365204636589624e-07,-2.223562134417989e-08,5.543079883985058e-12,0.0,0.0,0.0,0.5969514727592501,normal
16,72820,-0.001231150033902395,-0.00048818636799974444,0.0,0.0,9.205010414123535,1.9110815685507987e-07,-1.1311776404454577e-08,2.8907119753451838e-12,0.0,0.0,0.0,0.5201323091984792,normal
17,72821,-0.001231150033902395,-0.00048818636799974444,-0.0048155332915484905,0.030030161142349243,9.228109359741211,1.8651789446266775e-07,-8.931805517420344e-09,7.14671377632925e-12,0.0,0.0,0.0,0.4416356652976195,normal
18,72822,-0.001231150033902395,-0.00048818636799974444,-0.0024384954012930393,0.010015174746513367,9.301055908203125,2.0499378194926976e-07,-8.07217492848622e-09,1.2846251840059608e-12,0.0,0.0,0.0,0.3768866032363799,normal
19,72823,-0.001231150033902395,-0.00048818636799974444,-0.0025614099577069283,-0.009984446689486504,9.33677864074707,-9.858407565843663e-07,-3.831673645038336e-09,-5.592709628743364e-11,0.0,0.0,0.0,0.31557358503454486,normal
20,72824,-0.001231150033902395,-0.00048818636799974444,-0.007438400760293007,0.010045903734862804,9.408645629882812,2.1048417409019748e-07,1.3762568862318858e-09,2.1272136829786348e-11,0.0,0.0,0.0,0.265112864971183,normal
21,72825,-0.001231150033902395,-0.00048818636799974444,0.0049384478479623795,-0.010030539706349373,9.460230827331543,-3.6900300415254605e-07,2.3810662241885439e-07,4.819224880270312e-11,0.0,0.0,0.0,0.2227708026767461,normal
22,72826,-0.001231150033902395,-0.00048818636799974444,-0.007438400760293007,0.010045903734862804,9.497870445251465,1.9088787439613952e-07,3.2003375505240683e-09,6.561383381065156e-12,0.0,0.0,0.0,0.18429706245691782,normal
23,72827,-0.001231150033902395,-0.00048818636799974444,0.0049384478479623795,-0.010030539706349373,9.569917678833008,2.094826356824342e-07,7.089412612515389e-09,1.275041704162927e-12,0.0,0.0,0.0,0.1508946150546186,normal
24,72828,-0.001231150033902395,-0.00048818636799974444,-0.002499952679499984,1.536434137960896e-05,9.56959056854248,-3.60243660679771e-07,-2.2796363907673367e-07,-1.1782486097899891e-10,0.0,0.0,0.0,0.12216686904684572,normal
25,72829,-0.001231150033902395,-0.00048818636799974444,-0.005061362870037556,-0.009969081729650497,9.638504028320312,2.1245415382509236e-07,1.2043625652324863e-08,5.864999458315978e-12,0.0,0.0,0.0,0.10169158279969669,normal
26,72830,-0.001231150033902395,-0.00048818636799974444,-0.0024384954012930393,0.010015174746513367,9.648476600646973,-5.377110596782586e-07,-2.1674787831216236e-07,-5.6185459063051724e-11,0.0,0.0,0.0,0.08171932473892571,normal
27,72831,-0.001231150033902395,-0.00048818636799974444,0.002499952679499984,-1.536434137960896e-05,9.687142372131348,2.398665799319133e-07,2.1686249240815414e-08,1.4441807125176176e-12,0.0,0.0,0.0,0.0661887444570497,normal
28,72832,-0.001231150033902395,-0.00048818636799974444,-0.0049384478479623795,0.010030539706349373,9.722725868225098,2.232830240700423e-07,2.6437120936861902e-08,6.331525581604325e-12,0.0,0.0,0.0,0.0529344275609671,normal
29,72833,-0.001231150033902395,-0.00048818636799974444,0.002499952679499984,-1.536434137960896e-05,9.729090690612793,-9.761774890648667e-07,1.9011881846608958e-08,7.389271139413012e-11,0.0,0.0,0.0,0.041410457348133686,normal
30,72834,-0.001231150033902395,-0.00048818636799974444,0.004999905358999968,-3.072868275921792e-05,9.751047134399414,2.726932848418073e-07,2.1357283941370042e-08,1.9360489773856404e-14,0.0,0.0,0.0,0.033371484652499825,normal
31,72835,-0.001231150033902395,-0.00048818636799974444,0.002377037890255451,-0.020014986395835876,9.736824035644531,2.775021528123034e-07,2.2686817757744393e-08,8.985312494047548e-13,0.0,0.0,0.0,0.024731288105832507,normal
32,72836,-0.001231150033902395,-0.00048818636799974444,-6.145736551843584e-05,-0.009999810717999935,9.77078628540039,2.738752016284707e-07,2.179243985267476e-08,9.993502553262701e-12,0.0,0.0,0.0,0.019893355854472345,normal
33,72837,-0.001231150033902395,-0.00048818636799974444,-0.0011885189451277256,0.010007493197917938,9.779749870300293,2.7668528446156415e-07,2.9061583362022247e-08,4.565584021953839e-13,0.0,0.0,0.0,0.014391369001077157,normal
34,72838,-0.001231150033902395,-0.00048818636799974444,0.0,0.0,9.791178703308105,2.84813779671822e-07,2.86128241100414e-08,9.752489614489601e-13,0.0,0.0,0.0,0.011025741511186522,normal
35,72839,-0.001231150033902395,-0.00048818636799974444,-0.001249976339749992,7.68217068980448e-06,9.751381874084473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
36,72840,-0.001231150033902395,-0.00048818636799974444,0.0024538596626371145,-0.007515222765505314,9.8100004196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
37,72841,-0.001231150033902395,-0.00048818636799974444,0.0024384954012930393,-0.010015174746513367,9.8100004196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
